time x y zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target distance_port distance_starboard cog sog local_cog
0.5 11601.5813138 5445.5062146 -166.4610375 3.9997440420251325 -3.658730097999552e-06 0.1100847 0.03746914118528366 1.0 -0.006366934803602014 6002.118393133716 80.68802113151712 80.18937724516448 -166.461089910802 3.999744042026806 0.004784366777187188
0.6000000000000001 11601.1924666 5445.4125816 -166.4720501 3.9994875040306983 -8.864640605676932e-06 0.1101678 0.035187020897865295 2.0 -0.006333255926187482 6001.71848518445 80.66055735945197 80.16186311746142 -166.47217709289424 3.9994875040405224 0.015871548869426988
0.7000000000000001 11600.8036263 5445.3190299 -166.483071 3.999230212680088 -1.5635369998046045e-05 0.1102495 0.02234926074743271 2.0 -0.006222153760639465 6001.318604248161 80.63315175921964 80.13425234653809 -166.4832950032867 3.999230212710652 0.02698945926189822
0.8 11600.414793 5445.2255596 -166.4941002 3.9989715047209993 -2.0315199465659184e-05 0.1103346 0.006290080491453409 2.0 -0.006033554503885351 6000.91875044693 80.60580440781565 80.10654486183728 -166.494391268638 3.998971504772601 0.03808572461318249
0.9 11600.0259667 5445.1321705 -166.5051381 3.9987114259258565 -2.2682694380216084e-05 0.1104233 -0.010264357551932335 2.0 -0.005767652599020502 6000.518923731014 80.5785141413918 80.07873988904204 -166.505463110364 3.9987114259901904 0.04915756633917567
1.0 11599.6371479 5445.0388626 -166.5161851 3.998449753502195 -2.2349198233406753e-05 0.1105159 -0.026117533445358276 2.0 -0.00542456513556156 6000.119124584803 80.55127987455364 80.05083657759323 -166.51650535280126 3.998449753564655 0.06019980877644571
1.1 11599.2483365 5444.9456358 -166.527241 3.9981872510838414 -2.5579942160458558e-05 0.1106032 -0.04068376123905182 2.0 -0.005004365916581136 5999.719352886731 80.52410202259217 80.02283549012773 -166.52760757180715 3.99818725116567 0.07130202778233752
1.2000000000000002 11598.8595326 5444.8524907 -166.5383055 3.9979240183183897 -3.24197699619333e-05 0.1106855 -0.05377018451690674 2.0 -0.004506495042703017 5999.319608883897 80.49698187814855 79.99473679907419 -166.53877012013362 3.9979240184498384 0.08246457610880498
1.3 11598.4707361 5444.7594277 -166.5493779 3.9976600766642085 -4.24085466792512e-05 0.1107628 -0.06566913425922394 2.0 -0.003930540220696214 5998.919892579749 80.46992155790694 79.9665417955011 -166.54998571324407 3.997660076889151 0.0936801692192546
1.4000000000000001 11598.0819471 5444.6664471 -166.5604578 3.997395696783593 -5.57417162415641e-05 0.1108353 -0.07640895992517471 2.0 -0.003276233210110154 5998.520204146392 80.44292230547882 79.93825118596928 -166.56125676145527 3.9973956971722386 0.10495121743045388
