time x y zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target distance_port distance_starboard cog sog local_cog
0.5 11601.5813066 5445.5062446 -166.45005609999998 3.9997434378635943 -0.0006192281386885323 0.0004553 0.026203110814094543 1.0 -0.0063360829094745285 6002.11839366225 80.17937347928957 80.69046889622105 -166.4589264586043 3.999743485797105 0.0026209145794950928
0.6000000000000001 11601.1924559 5445.4126266 -166.4501242 3.999486203724627 -0.0012353884849537478 0.0009069 0.01968502253293991 2.0 -0.006287001504900671 6001.718486074127 80.17886277104198 80.68986038735122 -166.46782210927893 3.999486394522219 0.011516565254112265
0.7000000000000001 11600.8036157 5445.3190749 -166.4502373 3.9992280507008986 -0.001848392028153123 0.0013547 0.0072239721193909645 2.0 -0.006175922757827723 6001.318605234715 80.17852343703802 80.68929932662408 -166.476718674209 3.999228477852447 0.020413130184181227
0.8 11600.4147862 5445.2255893 -166.4503952 3.99896882806557 -0.002454616467840731 0.0018036 -0.005323519930243492 2.0 -0.006003087942583779 6000.918751287865 80.17835475048194 80.68878546947033 -166.4855640528505 3.9989695814024544 0.029258508825677154
0.9 11600.0259676 5445.1321694 -166.45059809999998 3.9987083392841263 -0.003053589310410554 0.0022539 -0.01632087118923664 2.0 -0.005768932779451001 6000.518924327434 80.17835676189875 80.68831973816096 -166.49435166515124 3.9987095052114117 0.03804612112642758
1.0 11599.6371601 5445.0388151 -166.4508459 3.998446583320709 -0.0036478891526212642 0.0027016 -0.025364035740494728 2.0 -0.005473601315492402 6000.119124522279 80.17852908479821 80.68790203414856 -166.5031183488705 3.9984482473535055 0.04681280484567196
1.1 11599.2483638 5444.9455263 -166.45113809999998 3.9981836364283643 -0.004240655448157216 0.0031418 -0.0330357663333416 2.0 -0.005117214199306833 5999.719351944433 80.17887038413431 80.68753126290498 -166.51190858743408 3.998185885343773 0.055603043409263364
1.2000000000000002 11598.8595787 5444.8523031 -166.45147400000002 3.9979195432941412 -0.004831330940412326 0.0035749 -0.03958539664745331 2.0 -0.004699674200770513 5999.319606619105 80.17937905675619 80.68720562576782 -166.52071369693928 3.9979224625312444 0.06440815291446711
1.3 11598.470805 5444.7591458 -166.45185279999998 3.9976545195592754 -0.0054195094112624576 0.0040009 -0.04508732259273529 2.0 -0.004220736509342738 5998.919888815159 80.18005340463027 80.68692293384652 -166.52952705237755 3.9976581930969237 0.07322150835273078
1.4000000000000001 11598.0820427 5444.6660542 -166.4522738 3.997388683609028 -0.006004754224356201 0.0044198 -0.04965238645672798 2.0 -0.0036805955566840687 5998.520198482805 80.18089153288953 80.68668168007088 -166.5383416914457 3.9973931936849563 0.08203614742089371
1.5 11597.693292 5444.5730285 -166.4527364 3.9971222545279095 -0.006587057474704228 0.0048317 -0.05339644104242325 2.0 -0.0030791037423666813 5998.1205358659145 80.18189213221508 80.68648025900904 -166.54715689230144 3.997127682094788 0.09085134827662955
1.6 11597.3045528 5444.4800687 -166.4532399 3.9968555954211036 -0.007166247205944165 0.0052363 -0.056426048278808594 2.0 -0.002416237653632908 5997.720900867878 80.18305352557137 80.68631694570841 -166.5559694758026 3.996862019853575 0.09966393177779764
1.7000000000000002 11596.9158252 5444.3871747 -166.45378340000002 3.9965890224777763 -0.007742359824470246 0.0056335 -0.058852966874837875 2.0 -0.0016921179219293967 5997.321293560742 80.1843734062771 80.68618967339158 -166.5647790475346 3.996596521882778 0.10847350350979923
1.8 11596.5271092 5444.2943464 -166.45436619999998 3.996322949090163 -0.0083154411802554 0.0060231 -0.06079329550266266 2.0 -0.0009068417688038276 5996.921713919725 80.1858499768384 80.68609683792718 -166.57358554310332 3.9963316003538445 0.11727999907850517
1.9000000000000001 11596.1384046 5444.2015839 -166.4549877 3.996057812051873 -0.008885432898940615 0.006405 -0.06230652332305908 2.0 -6.0265141475784883e-05 5996.522161776405 80.18748192375048 80.68603683677871 -166.58238749979782 3.9960676906402126 0.12608195577300307
2.0 11595.7497115 5444.1088871 -166.4556469 3.9957939777958944 -0.009452596125540613 0.006779 -0.06344874948263168 2.0 0.0008474913314667849 5996.1226372028295 80.1892666974426 80.68600736011146 -166.5911876351211 3.995805158483513 0.13488209109627292
2.1 11595.3610296 5444.0162558 -166.4563432 3.9955317354427526 -0.010016631137951704 0.0071453 -0.06426780670881271 2.0 0.001816303459495025 5995.723139858752 80.69601853564414 80.18100520264169 -166.59998102465931 3.9955442910609222 0.1436754806344993
2.2 11594.9723588 5443.9236901 -166.45707570000002 3.995271206538985 -0.0105775273434916 0.007504 -0.06480253487825394 2.0 0.0028462918826316842 5995.323669672576 80.69454324561238 80.1774713099851 -166.6087665933458 3.9952852085782533 0.15246104932097637
2.3000000000000003 11594.583699 5443.8311899 -166.4578437 3.995012703507947 -0.011134894712259147 0.0078555 -0.06508912146091461 2.0 0.003937382803521552 5994.924226522711 80.69304280445863 80.17379011541054 -166.61753801579823 3.9950282210605383 0.16123247177341682
2.4000000000000004 11594.1950499 5443.7387548 -166.4586465 3.994756079589549 -0.01168854117934115 0.0082 -0.06520222872495651 2.0 0.00508925759425781 5994.5248100189065 80.6915185952378 80.16996363816097 -166.62629182144823 3.994773179720291 0.1699862774234191
2.5 11593.8064115 5443.6463848 -166.4594834 3.9945015030488573 -0.012238247687907156 0.0085378 -0.065184086561203 2.0 0.006301916266275262 5994.125420161399 80.68997232032662 80.16599357956035 -166.63502413934975 3.99452025061409 0.17871859532493772
