time x y zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target distance_port distance_starboard cog sog local_cog
0.5 11601.5811423 5445.5062845 -166.45 3.9998226508790666 4.221245419877562e-08 0.0 0.003813596908003092 1.0 -0.006258815569174531 6002.118244554213 83.21176969046263 83.66151528640214 -166.4499993953243 3.9998226508790666 -0.006306148700502945
0.6000000000000001 11601.1923017 5445.4125732 -166.45 3.9996467341869404 -4.399181685599274e-08 0.0 -0.0018188917310908437 1.0 -0.0063028049276518125 6001.718323420647 83.21100043664883 83.66083426970354 -166.450000630192 3.999646734186941 -0.0063049138328210574
0.7000000000000001 11600.8034782 5445.318866 -166.45 3.9994720778113413 -2.2482348871477598e-08 0.0 -0.00911642611026764 2.0 -0.006346812896269803 6001.3184198760655 83.21023119611317 83.66015330348624 -166.4500003220784 3.9994720778113413 -0.0063052219464054815
0.8 11600.4146716 5445.2251628 -166.4500002 3.9992983995356894 1.937388636186199e-06 4.5e-06 -0.01491481438279152 2.0 -0.006390889853908646 6000.918533701823 83.20946234509569 83.65947286502445 -166.44997244408358 3.999298399536159 -0.0063330999412301026
0.9 11600.0258819 5445.1314635 -166.4500007 3.999125077263802 1.9808642214291794e-06 4.5e-06 -0.018193649128079414 2.0 -0.0064351330221160226 6000.5186648729195 83.20869399984592 83.65879326514028 -166.4499723200025 3.9991250772642926 -0.0063332240223132885
1.0 11599.637109 5445.0377684 -166.45000090000002 3.9989515780540494 -1.122149084764601e-08 -0.0 -0.019100015982985497 2.0 -0.006479227326349924 6000.118813367531 83.20792519432982 83.65811290684776 -166.4500010607782 3.9989515780540494 -0.006304483246623249
1.1 11599.248353 5444.9440777 -166.4500005 3.9987778281191995 -3.939157369292623e-06 -9.1e-06 -0.018199807032942772 2.0 -0.006523001744848757 5999.718979332485 83.20715545930601 83.65743097846776 -166.4500569415183 3.9987778281211397 -0.006248602506502721
1.2000000000000002 11598.8596137 5444.8503915 -166.4499989 3.9986039246755696 -9.868240611221601e-06 -2.27e-05 -0.016110925003886223 2.0 -0.006566312221973406 5999.319162599129 83.20638365745968 83.6567460537767 -166.45014030148633 3.9986039246877465 -0.006165242538486382
1.3 11598.4708912 5444.75671 -166.4499957 3.9984298442931117 -1.7923591168478303e-05 -4.08e-05 -0.013369631953537464 2.0 -0.006608987735962278 5998.919363314297 83.20560910603544 83.65605710744596 -166.45025253735056 3.9984298443332844 -0.006053006674250128
1.4000000000000001 11598.0821855 5444.6630335 -166.4499905 3.9982555366128345 -2.7915244957044116e-05 -6.34e-05 -0.010400667786598206 2.0 -0.006650736630748433 5998.519581552988 83.20483124277906 83.65536299337998 -166.45039053088985 3.9982555367102846 -0.0059150131349667845
1.5 11597.6934964 5444.569362 -166.4499831 3.998081221931459 -3.723579097514307e-05 -8.43e-05 -0.007524379529058933 2.0 -0.006691512069381732 5998.119817121559 83.20404968715891 83.65466323709981 -166.45051671939171 3.998081222104855 -0.005788824633100376
1.6 11597.3048241 5444.4756953 -166.4499738 3.9979072083298854 -4.501275641943803e-05 -0.0001015 -0.004973620176315308 2.0 -0.0067315553261902755 5997.720070163663 83.20326483869461 83.65395872107908 -166.45061889775556 3.9979072085832867 -0.00568664626925397
1.7000000000000002 11596.9161686 5444.3820334 -166.449963 3.9977333985919485 -5.119478524107102e-05 -0.0001149 -0.0029083567205816507 2.0 -0.0067708664040327625 5997.320340679302 83.20247755142516 83.6532502998869 -166.4506967270485 3.9977333989197477 -0.005608816976319986
1.8 11596.5275298 5444.2883759 -166.449951 3.9975597927184148 -5.5760932724968626e-05 -0.0001245 -0.0014279866591095924 2.0 -0.0068098107591900445 5996.920628471645 83.2016881000716 83.65253897956201 -166.45075020408257 3.997559793107312 -0.005555339942247883
1.9000000000000001 11596.1389078 5444.1947228 -166.44993829999999 3.997386343851603 -5.887073743271465e-05 -0.0001307 -0.0005812883609905839 2.0 -0.006848411807278489 5996.520933637525 83.20089752894451 83.65182585191157 -166.45078211255682 3.9973863442851068 -0.005523431467992168
2.0 11595.7503027 5444.1010739 -166.449925 3.997212981703975 -6.0808866312433985e-05 -0.0001343 -0.00037513376446440816 2.0 -0.0068868874098685275 5996.1212562237615 83.20010583378364 83.65111134852458 -166.45079663016142 3.9972129821665123 -0.005508913863394582
2.1 11595.3617144 5444.0074292 -166.44991149999998 3.9970398069917072 -6.198313463767757e-05 -0.0001359 -0.0007826364017091691 2.0 -0.006925214148485091 5995.721596133532 83.19931389186759 83.65039630037585 -166.45080000053713 3.9970398074723015 -0.005505543487686282
2.2 11594.9731429 5443.9137885 -166.4498979 3.996866652210236 -6.265478493805432e-05 -0.0001365 -0.0017515254439786077 2.0 -0.006963586454788738 5995.321953316835 83.19852172218724 83.6496811154629 -166.45079606725332 3.996866652701323 -0.005509476771493382
2.3000000000000003 11594.5845882 5443.8201518 -166.44988419999999 3.9966935442877194 -6.313889551312624e-05 -0.0001367 -0.0032117306254804134 2.0 -0.00700200433735557 5994.922327773669 83.19772932474257 83.64896579378288 -166.45078934626542 3.9966935447864467 -0.0055161977593911615
2.4000000000000004 11594.1960504 5443.7265192 -166.4498705 3.9965203660763917 -6.391457289300906e-05 -0.0001375 -0.005083607044070959 2.0 -0.007040393990254274 5994.522719625863 83.19693698706102 83.6482504754012 -166.45078680592127 3.9965203665874705 -0.005518738103546639
2.5 11593.8075295 5443.6328906 -166.4498567 3.996347265149729 -6.523008427128385e-05 -0.0001396 -0.007284241262823343 2.0 -0.007078852635032532 5994.123128848414 83.19614439836981 83.64753504384679 -166.45079190614643 3.9963472656820858 -0.0055136378783799955
